core_name,latitude,longitude,elevation,year,depth_to_550,depth_to_830,r2_550,r2_830,failed_fit_550,failed_fit_830,source,method,citation,measurement_count,source_file,region
D1,64.5,-43.5,2580.0,2003,8.92,76.22,0.46,0.98,0,0,PKM standardized cores,ice core section,,94,D1.std.txt,Greenland
D5,68.5,-42.9,2715.0,2003,11.95,72.67,-0.68,0.88,0,0,PKM standardized cores,ice core section,,155,D5.std.txt,Greenland
NASA-U-3,73.842,-49.498,2369.0,1995,13.35,,0.98,,0,1,PKM standardized cores,,checked against denstiy data for PARCA cores 2013,19,NASA-U-3.std.txt,Greenland
North_Dye_3,66.0,-44.501,,1997,9.65,,0.91,,0,1,PKM standardized cores,,,22,North_Dye_3.std.txt,Greenland
6348,63.8,-45.0,,1998,6.21,,0.53,,0,1,PKM standardized cores,,,16,6348.std.txt,Greenland
Basin8,70.0,-36.4,,2003,13.34,,1.0,,0,1,PKM standardized cores,,,30,Basin8.std.txt,Greenland
Basin4,62.0,-46.34,,2003,6.16,,0.72,,0,1,PKM standardized cores,,,24,Basin4.std.txt,Greenland
ACT10_C,66.0,-42.7667,2354.0,2010,8.86,,0.56,,0,1,PKM standardized cores,,,37,ACT10_C.std.txt,Greenland
Tunu_S_1,69.5,-34.5,,1997,12.76,,0.96,,0,1,PKM standardized cores,,,21,Tunu_S_1.std.txt,Greenland
ACT_3,66.0,-43.6069,,2004,11.63,88.52,0.96,0.93,0,0,PKM standardized cores,,,150,ACT_3.std.txt,Greenland
Das2,67.5272,-36.0614,,2003,12.78,82.91,0.42,0.98,0,0,PKM standardized cores,ice core section,,78,Das2.std.txt,Greenland
7247,72.0,-47.487,,1997,12.14,,0.98,,0,1,PKM standardized cores,,,18,7247.std.txt,Greenland
6745,67.5,-45.0,,1998,10.51,,0.82,,0,1,PKM standardized cores,,,14,6745.std.txt,Greenland
6945-1,69.0,-45.0,,1998,10.92,,0.9,,0,1,PKM standardized cores,,,20,6945-1.std.txt,Greenland
ACT_2,66.0119,-45.1581,2419.0,2004,13.06,70.04,0.46,0.96,0,0,PKM standardized cores,ice core section,,54,ACT_2.std.txt,Greenland
7147,71.05,-47.23,,1997,10.86,,0.94,,0,1,PKM standardized cores,,,21,7147.std.txt,Greenland
NASA-U-2,73.842,-49.498,2369.0,1995,14.48,,0.99,,0,1,PKM standardized cores,,checked against denstiy data for PARCA cores 2013,20,NASA-U-2.std.txt,Greenland
Sandy,72.55,-38.3167,3281.0,2003,14.16,74.23,0.98,0.96,0,0,PKM standardized cores,ice core section,,77,Sandy.std.txt,Greenland
D4,71.4167,-44.0333,2999.0,2003,12.49,78.88,0.96,0.93,0,0,PKM standardized cores,ice core section,,148,D4.std.txt,Greenland
6345,63.8,-45.0,,1998,11.57,,0.98,,0,1,PKM standardized cores,,,16,6345.std.txt,Greenland
Basin1,71.8,-42.4419,,2003,14.1,,0.99,,0,1,PKM standardized cores,,,22,Basin1.std.txt,Greenland
Basin5,63.93,-46.3539,,2003,8.45,,0.89,,0,1,PKM standardized cores,,,23,Basin5.std.txt,Greenland
GITS-Core2,77.0,-61.095,,1996,13.93,84.58,0.79,0.95,0,0,PKM standardized cores,,,140,GITS-Core2.std.txt,Greenland
Basin9,65.01,-44.87,,2003,12.74,,0.94,,0,1,PKM standardized cores,,,27,Basin9.std.txt,Greenland
ACT10_B,65.7667,-41.8667,1999.0,2010,9.11,,-0.63,,0,1,PKM standardized cores,ice core section,,30,ACT10_B.std.txt,Greenland
Tunu_1,78.017,-33.994,2650.0,1996,13.61,60.5,0.67,0.97,0,0,PKM standardized cores,ice core section,,68,Tunu_1.std.txt,Greenland
7345,73.0,-45.0,,1998,13.07,,0.92,,0,1,PKM standardized cores,,,25,7345.std.txt,Greenland
NASA_E_1,75.0,-30.0,,1997,13.84,,0.97,,0,1,PKM standardized cores,,,22,NASA_E_1.std.txt,Greenland
Tunu_S_2,69.5,-34.5,,1997,12.76,,0.96,,0,1,PKM standardized cores,,added by EHC using S_1 values check validity,21,Tunu_S_2.std.txt,Greenland
7653-1,76.0,-53.0,,1997,13.22,,0.99,,0,1,PKM standardized cores,,,14,7653-1.std.txt,Greenland
7249,72.2,-49.4,,1998,11.64,,0.8,,0,1,PKM standardized cores,,,26,7249.std.txt,Greenland
South_Dome_1,63.0,-44.187,,1997,13.11,,0.99,,0,1,PKM standardized cores,,,24,South_Dome_1.std.txt,Greenland
Das1,66.0056,-43.9878,,2003,11.83,69.85,-0.73,0.99,0,0,PKM standardized cores,ice core section,,78,Das1.std.txt,Greenland
Humboldt-M,78.527,-56.83,1995.0,1995,16.23,66.74,-2.47,0.83,0,0,PKM standardized cores,ice core section,,154,Humboldt-M.std.txt,Greenland
D2,71.8,-46.2,2534.0,2003,12.57,81.28,0.87,0.99,0,0,PKM standardized cores,ice core section,,100,D2.std.txt,Greenland
Basin7,67.52,-40.4061,,2003,10.8,,0.99,,0,1,PKM standardized cores,,,23,Basin7.std.txt,Greenland
6642-2,66.5,-42.5,,1998,9.69,,0.96,,0,1,PKM standardized cores,,,27,6642-2.std.txt,Greenland
D3,69.8,-44.0,2433.0,2003,11.8,75.97,-0.31,0.95,0,0,PKM standardized cores,ice core section,,100,D3.std.txt,Greenland
T4-1,69.819983,-47.4505,1877.0,2007,8.84,,0.56,,0,1,PKM standardized cores,,"Harper, J., Humphrey, N., Pfeffer, W. T., Brown, J., & Fettweis, X. (2012). Greenland ice-sheet contribution to sea-level rise buffered by meltwater storage in firn. Nature, 491(7423), 240â€“243. https://doi.org/10.1038/nature11566",36,T4-1.std.txt,Greenland
NASA-U-1,73.842,-49.498,2369.0,1995,14.25,79.97,0.64,0.93,0,0,PKM standardized cores,ice core section,Zoek in Kuipers Munneke et al. (2015),149,NASA-U-1.std.txt,Greenland
ACT10_A,66.0,-41.4667,1825.0,2010,5.09,,-5.16,,0,1,PKM standardized cores,,,25,ACT10_A.std.txt,Greenland
GITS-Core1,77.0,-61.095,,1996,13.82,,0.98,,0,1,PKM standardized cores,,,21,GITS-Core1.std.txt,Greenland
Basin2,68.0,-44.8278,,2003,9.99,,0.85,,0,1,PKM standardized cores,,,21,Basin2.std.txt,Greenland
Basin6,67.0,-41.7489,,2003,11.14,,0.98,,0,1,PKM standardized cores,,,25,Basin6.std.txt,Greenland
7551,75.0,-51.0,,1997,13.28,,0.96,,0,1,PKM standardized cores,,,20,7551.std.txt,Greenland
ACT_1,66.0,-46.5511,,2004,7.77,,0.84,,0,1,PKM standardized cores,,,31,ACT_1.std.txt,Greenland
6943,69.2,-43.0,,1998,11.96,,0.99,,0,1,PKM standardized cores,,,21,6943.std.txt,Greenland
GGU163,70.0,-48.1932,1660.0,2008,1.95,,0.69,0.69,0,1,PKM standardized cores,,,42,GGU163.std.txt,Greenland
