core_name,latitude,longitude,elevation,year,depth_to_550,depth_to_830,r2_550,r2_830,failed_fit_550,failed_fit_830,source,citation,region,FDM_point_index,FDM_latitude,FDM_longitude,FDM_rlat,FDM_rlon,FDM_depth_to_550,FDM_depth_to_830,Fit_R2,Fit_model,Fit_failed,avac
T15 1959,70.303,-44.57,2491.0,1959,10.97,,0.89,,0,1,SUMUP 2024,Renaud et al. (1959),greenland,19474,70.2581,-44.6186,256,153,12.63,74.25,0.996,Power law,0.0,
T31_1959,70.909,-40.64,3008.0,1959,11.9,,0.98,,0,1,SUMUP 2024,Renaud et al. (1959),greenland,21141,70.8721,-40.7053,266,180,15.45,78.1,0.996,Power law,0.0,
T43_1959,71.117,-37.317,3174.0,1959,12.69,,0.95,,0,1,SUMUP 2024,Renaud et al. (1959),greenland,21779,71.0999,-37.3457,270,202,16.25,75.89,0.994,Power law,0.0,
T53_1959,71.35,-33.483,2867.0,1959,12.54,,0.96,,0,1,SUMUP 2024,Renaud et al. (1959),greenland,22573,71.3062,-33.4412,275,227,15.48,74.03,0.994,Power law,0.0,
T61_1959,72.233,-32.333,2750.0,1959,12.86,,0.94,,0,1,SUMUP 2024,Renaud et al. (1959),greenland,25649,72.2844,-32.4002,295,232,15.73,73.53,0.993,Power law,0.0,
Camp Century,77.183,-61.167,1886.0,1963,12.73,74.41,1.0,0.98,0,0,SUMUP 2024,Kovacs et al. (1969) as in Spencer et al. (2001),greenland,45755,77.1745,-61.2036,412,98,11.51,64.82,0.993,Power law,0.0,
Site 2,76.983,-56.067,2000.0,1965,12.14,74.19,1.0,0.97,0,0,SUMUP 2024,Langway (1967) as in Spencer et al. (2001),greenland,43331,76.9543,-56.1066,400,118,13.78,75.89,0.995,Logarithmic,0.0,
Carrefour 1967,69.824,-47.432,1850.0,1967,7.18,,0.99,,0,1,SUMUP 2024,Ambach 1970,greenland,18402,69.8203,-47.3939,250,133,6.7,59.31,0.983,Logarithmic,0.0,
Dye3-11B-1984,65.183,-43.833,2479.0,1983,12.72,,0.98,,0,1,SUMUP 2024,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",greenland,5513,65.2116,-43.7884,155,148,11.09,72.68,0.996,Power law,0.0,
Dye3-15B-1984,65.183,-43.833,2479.0,1983,13.51,,0.96,,0,1,SUMUP 2024,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",greenland,5513,65.2116,-43.7884,155,148,11.09,72.68,0.996,Power law,0.0,
Dye3-16C-1984,65.183,-43.833,2479.0,1983,12.98,,0.96,,0,1,SUMUP 2024,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",greenland,5513,65.2116,-43.7884,155,148,11.09,72.68,0.996,Power law,0.0,
Dye3-4B-1983,65.183,-43.833,2479.0,1983,11.67,78.89,0.97,0.98,0,0,SUMUP 2024,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",greenland,5513,65.2116,-43.7884,155,148,11.09,72.68,0.996,Power law,0.0,
Dye3-5B-1984,65.183,-43.833,2479.0,1983,11.64,,0.93,,0,1,SUMUP 2024,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",greenland,5513,65.2116,-43.7884,155,148,11.09,72.68,0.996,Power law,0.0,
Dye3-9B-1984,65.183,-43.833,2479.0,1983,11.43,,0.97,,0,1,SUMUP 2024,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",greenland,5513,65.2116,-43.7884,155,148,11.09,72.68,0.996,Power law,0.0,
Dye3-station1-1983,65.183,-43.833,2479.0,1983,12.01,,0.97,,0,1,SUMUP 2024,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",greenland,5513,65.2116,-43.7884,155,148,11.09,72.68,0.996,Power law,0.0,
,65.1,-44.87,2625.0,1984,9.15,70.22,0.7,0.82,1,1,SUMUP 2024,Mayewski et al. (2016d),greenland,5419,65.1112,-44.832,154,139,11.0,67.94,0.993,Logarithmic,0.0,
Site 13,72.886,-38.843,3209.0,1987,14.36,,0.89,,0,1,SUMUP 2024,van der Veen et al. (2001),greenland,27447,72.8955,-38.86,306,193,16.73,74.08,0.993,Power law,0.0,
Site 15,72.981,-36.296,3229.0,1987,14.74,,0.93,,0,1,SUMUP 2024,van der Veen et al. (2001),greenland,27779,72.9965,-36.3032,308,208,17.01,72.69,0.993,Power law,0.0,
Site 31,72.349,-39.786,3151.0,1987,14.71,,0.91,,0,1,SUMUP 2024,van der Veen et al. (2001),greenland,25604,72.3366,-39.8075,295,187,16.77,77.61,0.994,Power law,0.0,
Site 51,71.927,-38.165,3150.0,1987,14.54,,0.93,,0,1,SUMUP 2024,van der Veen et al. (2001),greenland,24378,71.9489,-38.1455,287,197,16.96,76.97,0.994,Power law,0.0,
Site 571,72.212,-34.332,3149.0,1987,13.81,,0.93,,0,1,SUMUP 2024,van der Veen et al. (2001),greenland,25325,72.2254,-34.3867,293,220,17.3,76.65,0.993,Power law,0.0,
Site 73,71.602,-37.864,3218.0,1987,14.86,,0.87,,0,1,SUMUP 2024,van der Veen et al. (2001),greenland,23323,71.5997,-37.8168,280,199,16.78,76.37,0.993,Power law,0.0,
Site A,70.75,-35.958,3145.0,1987,15.13,83.16,1.0,0.98,0,0,SUMUP 2024, Alley (1987) as in Spencer et al. (2001),greenland,20727,70.7437,-35.9841,263,211,16.49,76.03,0.993,Power law,0.0,
Summit,72.294,-36.078,3263.0,1987,14.8,,0.91,,0,1,SUMUP 2024,van der Veen et al. (2001),greenland,25315,72.2445,-36.0242,293,210,17.34,75.99,0.993,Power law,0.0,
,71.927,-39.835,3112.0,1987,14.54,,0.93,,0,1,SUMUP 2024,"Bolzan and Strobel (1999a,b,c,d,e,f,g,h,i,j,k,l,m,n,o)",greenland,24518,71.9868,-39.7642,288,187,16.71,78.12,0.994,Power law,0.0,
,71.602,-38.141,3168.0,1987,14.86,,0.87,,0,1,SUMUP 2024,"Bolzan and Strobel (1999a,b,c,d,e,f,g,h,i,j,k,l,m,n,o)",greenland,23321,71.5989,-38.1336,280,197,16.7,76.77,0.994,Power law,0.0,
,72.294,-37.921,3215.0,1987,7.71,,0.91,,0,1,SUMUP 2024,"Bolzan and Strobel (2001a,b)",greenland,25303,72.2494,-37.992,293,198,17.16,76.92,0.994,Power law,0.0,
,72.212,-35.667,3087.0,1987,13.81,,0.93,,0,1,SUMUP 2024,"Bolzan and Strobel (2001a,b)",greenland,25317,72.2418,-35.6965,293,212,17.41,76.03,0.993,Power law,0.0,
,72.349,-40.214,3115.0,1987,14.71,,0.91,,0,1,SUMUP 2024,"Bolzan and Strobel (1999a,b,c,d,e,f,g,h,i,j,k,l,m,n,o)",greenland,25764,72.3824,-40.144,296,185,16.72,77.48,0.994,Power law,0.0,
,72.886,-39.157,3167.0,1987,14.36,,0.89,,0,1,SUMUP 2024,"Bolzan and Strobel (1999a,b,c,d,e,f,g,h,i,j,k,l,m,n,o)",greenland,27445,72.8929,-39.1998,306,191,16.74,74.52,0.993,Power law,0.0,
,77.981,-37.704,3188.0,1987,14.74,,0.93,,0,1,SUMUP 2024,"Bolzan and Strobel (1999a,b,c,d,e,f,g,h,i,j,k,l,m,n,o)",greenland,44822,77.9499,-37.7382,407,200,15.08,66.42,0.99,Power law,0.0,
"Site A, (Crete)",70.635,-35.82,3092.0,1988,15.34,81.98,0.99,0.98,0,0,SUMUP 2024,Clausen et al. (1988) as in Spencer et al. (2001),greenland,20403,70.6424,-35.8409,261,212,16.3,76.19,0.993,Power law,0.0,
Site B,70.659,-35.479,3138.0,1988,16.1,81.31,0.97,0.97,0,0,SUMUP 2024,Clausen et al. (1988) as in Spencer et al. (2001),greenland,20577,70.6894,-35.5346,262,214,16.31,75.95,0.993,Power law,0.0,
Site C,70.677,-35.787,3072.0,1988,15.33,,0.99,,0,1,SUMUP 2024,Clausen et al. (1988) as in Spencer et al. (2001),greenland,20575,70.6924,-35.8368,262,212,16.37,76.0,0.993,Power law,0.0,
Site D,70.64,-35.618,3018.0,1988,14.93,79.95,0.99,0.98,0,0,SUMUP 2024,Clausen et al. (1988) as in Spencer et al. (2001),greenland,20576,70.691,-35.6857,262,213,16.36,75.96,0.993,Power law,0.0,
Site E,71.759,-35.851,3087.0,1988,15.63,73.81,0.98,0.96,0,0,SUMUP 2024,Clausen et al. (1988) as in Spencer et al. (2001),greenland,23953,71.7934,-35.8995,284,211,17.11,75.85,0.993,Power law,0.0,
Site F,71.492,-35.881,3092.0,1988,16.4,,0.97,,0,1,SUMUP 2024,Clausen et al. (1988) as in Spencer et al. (2001),greenland,23016,71.4935,-35.9246,278,211,16.93,75.35,0.993,Power law,0.0,
Site G,71.155,-35.838,3098.0,1988,16.19,,0.97,,0,1,SUMUP 2024,Clausen et al. (1988) as in Spencer et al. (2001),greenland,21949,71.1422,-35.7983,271,212,16.73,75.26,0.993,Power law,0.0,
Site H,70.865,-35.838,3102.0,1988,15.57,,0.98,,0,1,SUMUP 2024,Clausen et al. (1988) as in Spencer et al. (2001),greenland,21024,70.8423,-35.8242,265,212,16.51,75.72,0.993,Power law,0.0,
Site J,66.87,-46.26,2030.0,1989,5.8,65.73,0.65,0.89,1,0,SUMUP 2024,Kameda et al. (1995),greenland,9377,66.8484,-46.2718,190,132,6.73,63.8,0.973,Power law,0.0,
GRIP,72.567,-37.617,3230.0,1990,16.71,79.34,1.0,0.96,0,0,SUMUP 2024," Johnsen, S. pers. comm. as in Spencer et al. (2001)",greenland,26284,72.5499,-37.6667,299,200,17.07,75.1,0.993,Power law,0.0,
ngt03C93.2_B16,73.94,-37.63,3040.0,1993,15.18,68.05,0.91,0.98,0,0,SUMUP 2024,"Wilhelms et al. (2000a,b,c,d)",greenland,30599,73.8999,-37.6802,326,200,16.52,70.48,0.992,Power law,0.0,
ngt06C93.2_B17,75.25,-37.625,2820.0,1993,17.25,71.09,0.88,0.98,0,0,SUMUP 2024,"Wilhelms et al. (2000a,b,c,d)",greenland,35013,75.1999,-37.6954,352,200,16.6,69.61,0.991,Power law,0.0,
ngt19C.0_B19,78.0,-36.23,2234.0,1994,16.09,66.46,0.92,0.99,0,0,SUMUP 2024,NGT: Wilhelms (1996),greenland,45245,78.0475,-36.2995,409,206,14.57,65.16,0.989,Power law,0.0,
ngt27C94.2_B21,80.0,-41.137,2185.0,1994,17.48,67.07,0.86,0.97,0,0,SUMUP 2024,"Wilhelms et al. (2000a,b,c,d)",greenland,52817,79.98,-41.202,448,188,15.01,66.28,0.99,Power law,0.0,
Humboldt-E,78.598,-55.699,2045.0,1995,15.67,,0.98,,0,1,SUMUP 2024,Mosley-Thompson et al. (2001),greenland,49617,78.6597,-55.7047,432,130,14.49,66.69,0.989,Power law,0.0,
Humboldt-M,78.527,-56.83,1995.0,1995,16.23,66.74,-2.47,0.83,0,0,PKM standardized cores,,Greenland,49426,78.5357,-56.8203,431,125,13.96,66.05,0.989,Power law,0.0,
Humboldt-M2,78.527,-56.83,1995.0,1995,15.35,,0.94,,0,1,SUMUP 2024,Mosley-Thompson et al. (2001),greenland,49426,78.5357,-56.8203,431,125,13.96,66.05,0.989,Power law,0.0,
Humboldt-N,78.751,-56.83,1905.0,1995,18.03,,0.95,,0,1,SUMUP 2024,Mosley-Thompson et al. (2001),greenland,50004,78.6937,-56.823,434,126,13.79,65.69,0.988,Power law,0.0,
Humboldt-S,78.315,-56.826,2058.0,1995,15.83,,0.98,,0,1,SUMUP 2024,Mosley-Thompson et al. (2001),greenland,48872,78.3777,-56.8178,428,124,14.35,66.33,0.989,Power law,0.0,
Humboldt-W,78.452,-57.958,1924.0,1995,15.9,,0.97,,0,1,SUMUP 2024,Mosley-Thompson et al. (2001),greenland,49421,78.4547,-57.9959,431,120,13.84,65.31,0.987,Power law,0.0,
NASA-U-1,73.842,-49.498,2369.0,1995,14.25,79.97,0.64,0.93,0,0,PKM standardized cores,Zoek in Kuipers Munneke et al. (2015),Greenland,31503,73.8717,-49.4507,332,135,12.9,70.04,0.995,Power law,0.0,
NASA-U-2,73.842,-49.498,2369.0,1995,14.48,,0.99,,0,1,PKM standardized cores,checked against denstiy data for PARCA cores 2013,Greenland,31503,73.8717,-49.4507,332,135,12.9,70.04,0.995,Power law,0.0,
NASA-U-3,73.842,-49.498,2369.0,1995,13.35,,0.98,,0,1,PKM standardized cores,checked against denstiy data for PARCA cores 2013,Greenland,31503,73.8717,-49.4507,332,135,12.9,70.04,0.995,Power law,0.0,
NASA-U_Henderson,73.842,-49.498,2369.0,1995,14.23,79.88,0.98,0.98,0,0,SUMUP 2024,Mosley-Thompson et al. (2001),greenland,31503,73.8717,-49.4507,332,135,12.9,70.04,0.995,Power law,0.0,
ngt37C95.2_B26,77.253,-49.217,2598.0,1995,16.86,76.06,0.86,0.98,0,0,SUMUP 2024,"Miller and Schwager (2000a,b)",greenland,42814,77.1955,-49.2569,397,149,16.43,72.75,0.994,Power law,0.0,
ngt42C95.2_B29,76.004,-43.492,2874.0,1995,17.25,74.9,0.9,0.98,0,0,SUMUP 2024,"Miller and Schwager (2000a,b)",greenland,38176,76.0277,-43.5003,370,172,16.73,70.68,0.992,Power law,0.0,
GITS-Core1,77.0,-61.095,,1996,13.82,,0.98,,0,1,PKM standardized cores,,Greenland,44929,76.9707,-61.0661,408,97,13.68,72.0,0.994,Power law,0.0,
GITS-Core2,77.0,-61.095,,1996,13.93,84.58,0.79,0.95,0,0,PKM standardized cores,,Greenland,44929,76.9707,-61.0661,408,97,13.68,72.0,0.994,Power law,0.0,
Tunu-1,78.017,-33.994,2113.0,1996,14.05,,0.98,,0,1,SUMUP 2024,Mosley-Thompson et al. (2001),greenland,45048,77.9777,-33.9168,408,216,13.72,64.59,0.987,Power law,0.0,
Tunu-N25,78.33,-33.888,2050.0,1996,14.01,,0.91,,0,1,SUMUP 2024,Mosley-Thompson et al. (2001),greenland,46277,78.2771,-33.8285,414,216,13.32,64.08,0.987,Power law,0.0,
Tunu-N_main,78.017,-33.994,2113.0,1996,14.18,61.09,0.96,0.98,0,0,SUMUP 2024,Mosley-Thompson et al. (2001),greenland,45048,77.9777,-33.9168,408,216,13.72,64.59,0.987,Power law,0.0,
Tunu_1,78.017,-33.994,2650.0,1996,13.61,60.5,0.67,0.97,0,0,PKM standardized cores,,Greenland,45048,77.9777,-33.9168,408,216,13.72,64.59,0.987,Power law,0.0,
7147,71.05,-47.23,,1997,10.86,,0.94,,0,1,PKM standardized cores,,Greenland,22328,71.0449,-47.2387,274,138,12.27,73.19,0.995,Power law,0.0,
7247,72.0,-47.487,,1997,12.14,,0.98,,0,1,PKM standardized cores,,Greenland,25401,72.0479,-47.4404,294,140,13.87,76.73,0.996,Power law,0.0,
