core_name,profile_key,date,region,latitude,longitude,elevation,citation,n_measurements,max_depth,max_density,depth_to_550,depth_to_830,year,source,source_doi
1D (3001),2020,1981-01-01,Greenland,64.850,-43.347,2708.000,van der Veen et al. (2001),88,8.655,806.000,2.465,,1981,SUMUP 2024,doi:10.18739/A2M61BR5M
2009S2_Keegan,2487,2009-06-01,Greenland,77.450,-51.060,2460.000,Baker et al. (2009),667,77.210,860.000,13.820,65.280,2009,SUMUP 2024,doi:10.18739/A2M61BR5M
2016_DYE-2 Pit 02,2139,2016-04-28,Greenland,66.482,-46.291,2165.000,GEUS snow and firn data (2023),39,3.180,747.269,0.344,,2016,SUMUP 2024,doi:10.18739/A2M61BR5M
2016_DYE-2 Pit 03,2140,2016-05-02,Greenland,66.482,-46.291,2165.000,GEUS snow and firn data (2023),20,1.050,747.280,0.884,,2016,SUMUP 2024,doi:10.18739/A2M61BR5M
2016_KANU Pit 04,2728,2016-04-27,Greenland,66.991,-47.025,,GEUS snow and firn data (2023),8,0.830,639.265,0.608,,2016,SUMUP 2024,doi:10.18739/A2M61BR5M
2018-CP-30m,2595,2018-05-21,Greenland,69.877,-47.011,,Harper and Humphrey (2023),130,30.020,999.700,15.904,10.799,2018,SUMUP 2024,doi:10.18739/A2M61BR5M
2018-T5-30m,2596,2018-05-27,Greenland,69.848,-47.274,,Harper and Humphrey (2023),130,30.570,999.700,12.509,8.535,2018,SUMUP 2024,doi:10.18739/A2M61BR5M
2019-T2-32m,2598,2019-05-19,Greenland,69.757,-47.880,,Harper and Humphrey (2023),173,32.385,1326.100,3.778,11.516,2019,SUMUP 2024,doi:10.18739/A2M61BR5M
2019-T2minus-32m,2597,2019-05-19,Greenland,69.754,-47.912,,Harper and Humphrey (2023),175,32.385,1050.700,3.172,18.770,2019,SUMUP 2024,doi:10.18739/A2M61BR5M
2019-T3-32m,2599,2019-05-19,Greenland,69.782,-47.668,,Harper and Humphrey (2023),175,32.110,1006.500,5.791,9.132,2019,SUMUP 2024,doi:10.18739/A2M61BR5M
2019-T4-32m,2600,2019-05-28,Greenland,69.820,-47.450,,Harper and Humphrey (2023),166,32.090,1207.800,7.713,13.480,2019,SUMUP 2024,doi:10.18739/A2M61BR5M
2022-T3-15m,2590,2022-06-02,Greenland,69.781,-47.677,,Harper and Humphrey (2022),121,15.935,1197.000,10.022,7.034,2022,SUMUP 2024,doi:10.18739/A2M61BR5M
2022-T3-25m,2591,2022-06-01,Greenland,69.780,-47.677,,Harper and Humphrey (2022),173,25.705,986.000,2.681,8.425,2022,SUMUP 2024,doi:10.18739/A2M61BR5M
2022-T3-6m,2592,2022-05-30,Greenland,69.783,-47.668,,Harper and Humphrey (2022),43,6.710,933.000,3.738,3.501,2022,SUMUP 2024,doi:10.18739/A2M61BR5M
2022-T3-7m,2593,2022-06-05,Greenland,69.781,-47.677,,Harper and Humphrey (2022),51,6.580,966.000,6.291,5.203,2022,SUMUP 2024,doi:10.18739/A2M61BR5M
2022-T4-25m,2594,2022-06-07,Greenland,69.820,-47.451,,Harper and Humphrey (2022),176,25.580,1000.000,6.671,16.273,2022,SUMUP 2024,doi:10.18739/A2M61BR5M
2023-CP-11m,2860,2023-06-09,Greenland,69.875,-47.007,,Harper and Humphrey (2023),62,11.320,795.647,5.012,,2023,SUMUP 2024,doi:10.18739/A2M61BR5M
2023-CP-25m,2861,2023-05-26,Greenland,69.876,-47.006,,Harper and Humphrey (2023),149,25.270,986.059,14.074,3.525,2023,SUMUP 2024,doi:10.18739/A2M61BR5M
2023-T4-10m,2862,2023-06-07,Greenland,69.820,-47.453,,Harper and Humphrey (2023),71,11.035,856.851,7.069,4.984,2023,SUMUP 2024,doi:10.18739/A2M61BR5M
2023-T5-25m,2863,2023-05-29,Greenland,69.848,-47.274,,Harper and Humphrey (2023),160,25.945,892.553,6.987,10.781,2023,SUMUP 2024,doi:10.18739/A2M61BR5M
8D (3008),2021,1981-01-01,Greenland,64.850,-43.347,2708.000,van der Veen et al. (2001),159,18.190,860.000,8.973,9.007,1981,SUMUP 2024,doi:10.18739/A2M61BR5M
ACT10A,2489,2010-01-01,Greenland,65.697,-41.481,,Miège et al. (2013),48,46.155,856.053,7.288,40.096,2010,SUMUP 2024,doi:10.18739/A2M61BR5M
ACT10B,2490,2010-01-01,Greenland,65.775,-41.867,,Miège et al. (2013),50,50.580,765.670,10.508,,2010,SUMUP 2024,doi:10.18739/A2M61BR5M
ACT10C,2491,2010-01-01,Greenland,66.000,-42.783,,Miège et al. (2013),50,48.585,750.862,9.098,,2010,SUMUP 2024,doi:10.18739/A2M61BR5M
ACT11A,2493,2011-01-01,Greenland,66.184,-39.078,,Miège et al. (2013),24,24.495,795.668,4.807,,2011,SUMUP 2024,doi:10.18739/A2M61BR5M
ACT11A2,2492,2011-01-01,Greenland,66.179,-39.020,,Miège et al. (2013),10,9.630,648.085,5.403,,2011,SUMUP 2024,doi:10.18739/A2M61BR5M
ACT11B,2494,2011-01-01,Greenland,66.217,-39.566,,Miège et al. (2013),60,60.365,843.216,3.209,58.646,2011,SUMUP 2024,doi:10.18739/A2M61BR5M
ACT11C,2495,2011-01-01,Greenland,66.291,-40.746,,Miège et al. (2013),60,60.932,787.709,3.486,,2011,SUMUP 2024,doi:10.18739/A2M61BR5M
ACT11D,2496,2011-01-01,Greenland,66.479,-46.310,,Miège et al. (2013),59,58.925,889.193,6.190,54.187,2011,SUMUP 2024,doi:10.18739/A2M61BR5M
BPRC_1993,2000,1993-01-01,Greenland,65.293,-45.834,,BPRC 1993 in Jezek (2012),212,11.425,901.925,7.817,4.706,1993,SUMUP 2024,doi:10.18739/A2M61BR5M
CP1_CP1 (Core 1),2181,2021-06-17,Greenland,69.878,-46.997,2022.000,GEUS snow and firn data (2023),4,1.220,897.000,0.638,1.038,2021,SUMUP 2024,doi:10.18739/A2M61BR5M
CP_2007,2243,2007-01-01,Greenland,69.900,-47.000,2000.000,Porter and Mosley-Thompson (2014),242,151.912,916.320,12.709,80.138,2007,SUMUP 2024,doi:10.18739/A2M61BR5M
Camp Century,2500,1963-01-01,Greenland,77.183,-61.167,1886.000,Kovacs et al. (1969) as in Spencer et al. (2001),113,214.550,916.000,12.350,72.100,1963,SUMUP 2024,doi:10.18739/A2M61BR5M
Camp Century (Core B62),2602,2017-07-28,Greenland,77.171,-61.078,1887.000,"Colgan et al. (2018), Colgan (2021)",558,62.250,836.763,11.262,48.667,2017,SUMUP 2024,doi:10.18739/A2M61BR5M
Camp_VI_1959,925,1959-05-18,Greenland,69.700,-48.267,1598.000,Renaud et al. (1959),19,40.000,780.000,4.649,,1959,SUMUP 2024,doi:10.18739/A2M61BR5M
Carrefour 1967,2001,1967-07-01,Greenland,69.824,-47.432,1850.000,Ambach 1970,19,19.160,610.000,7.155,,1967,SUMUP 2024,doi:10.18739/A2M61BR5M
DYE-2,2601,2019-05-18,Greenland,66.481,-46.280,2100.000,GEUS snow and firn data (2023),308,30.250,874.000,14.960,20.967,2019,SUMUP 2024,doi:10.18739/A2M61BR5M
Dye 2 (Raven) Core A,2222,1998-05-13,Greenland,66.478,-46.285,2119.000,Mosley-Thompson et al. (2001),100,119.635,916.870,4.458,58.339,1998,SUMUP 2024,doi:10.18739/A2M61BR5M
Dye 2 (Raven) Core B,2223,1998-05-12,Greenland,66.478,-46.285,2119.000,Mosley-Thompson et al. (2001),20,19.560,672.790,8.068,,1998,SUMUP 2024,doi:10.18739/A2M61BR5M
Dye3-11B-1984,2506,1983-01-01,Greenland,65.183,-43.833,2479.000,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",43,24.475,634.000,11.825,,1983,SUMUP 2024,doi:10.18739/A2M61BR5M
Dye3-15B-1984,2507,1983-01-01,Greenland,65.183,-43.833,2479.000,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",44,24.475,647.000,13.082,,1983,SUMUP 2024,doi:10.18739/A2M61BR5M
Dye3-16C-1984,2508,1983-01-01,Greenland,65.183,-43.833,2479.000,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",43,24.475,647.000,15.361,,1983,SUMUP 2024,doi:10.18739/A2M61BR5M
Dye3-4B-1983,2509,1983-01-01,Greenland,65.183,-43.833,2479.000,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",162,172.950,913.000,11.062,75.628,1983,SUMUP 2024,doi:10.18739/A2M61BR5M
Dye3-5B-1984,2510,1983-01-01,Greenland,65.183,-43.833,2479.000,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",44,24.475,662.000,11.159,,1983,SUMUP 2024,doi:10.18739/A2M61BR5M
Dye3-9B-1984,2511,1983-01-01,Greenland,65.183,-43.833,2479.000,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",44,24.475,653.000,10.175,,1983,SUMUP 2024,doi:10.18739/A2M61BR5M
Dye3-station1-1983,2512,1983-01-01,Greenland,65.183,-43.833,2479.000,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",29,26.695,640.000,12.365,,1983,SUMUP 2024,doi:10.18739/A2M61BR5M
EastGRIP,2588,2012-06-01,Greenland,75.623,-35.960,2702.000,Vallelonga et al. (2014),113,66.280,839.476,18.366,65.329,2012,SUMUP 2024,doi:10.18739/A2M61BR5M
EastGRIP Main Core,2864,2016-06-01,Greenland,75.630,-36.000,2704.000,Rasmussen et al. (2023),154,116.875,910.800,18.124,62.299,2016,SUMUP 2024,doi:10.18739/A2M61BR5M
Eismitte,2513,1954-01-01,Greenland,71.183,-39.933,3000.000,Bader (1954) as in Spencer et al. (2001),16,14.500,560.000,14.125,,1954,SUMUP 2024,doi:10.18739/A2M61BR5M
Eismitte_1931-01-22,2350,1931-01-22,Greenland,71.183,-39.933,3010.000,Sorge et al. (1935) as in Abermann et al. (2023),3,8.415,598.600,8.273,,1931,SUMUP 2024,doi:10.18739/A2M61BR5M
Eismitte_1931-03-04,2355,1931-03-04,Greenland,71.183,-39.933,3010.000,Sorge et al. (1935) as in Abermann et al. (2023),2,12.970,559.500,12.921,,1931,SUMUP 2024,doi:10.18739/A2M61BR5M
Eismitte_1931-04-23,2363,1931-04-23,Greenland,71.183,-39.933,3010.000,Sorge et al. (1935) as in Abermann et al. (2023),3,14.200,551.400,14.023,,1931,SUMUP 2024,doi:10.18739/A2M61BR5M
FA13A,2497,2013-01-01,Greenland,66.181,-39.044,,Miège et al. (2013),257,50.785,985.378,6.073,25.122,2013,SUMUP 2024,doi:10.18739/A2M61BR5M
FA13B,57,2013-04-08,Greenland,66.181,-39.043,1563.000,Koenig et al. (2014),170,31.675,945.130,5.116,24.953,2013,SUMUP 2024,doi:10.18739/A2M61BR5M
FA14,2498,2014-01-01,Greenland,66.181,-39.044,,Miège et al. (2013),34,8.060,822.962,4.986,,2014,SUMUP 2024,doi:10.18739/A2M61BR5M
FS2_12m,2607,2021-04-28,Greenland,66.986,-47.238,1765.000,Clerx et al. (2022),54,12.310,1087.656,6.193,6.150,2021,SUMUP 2024,doi:10.18739/A2M61BR5M
FS4_20m,2603,2021-04-21,Greenland,67.011,-46.817,1894.000,Clerx et al. (2022),183,21.155,1096.180,9.630,5.480,2021,SUMUP 2024,doi:10.18739/A2M61BR5M
FS4_5m,2604,2021-04-22,Greenland,67.011,-46.817,1894.000,Clerx et al. (2022),48,5.020,927.921,3.140,4.123,2021,SUMUP 2024,doi:10.18739/A2M61BR5M
FS5_20m,2605,2021-05-04,Greenland,67.010,-46.465,1977.000,Clerx et al. (2022),236,20.745,942.019,8.019,11.193,2021,SUMUP 2024,doi:10.18739/A2M61BR5M
FS5_5m,2606,2021-05-04,Greenland,67.010,-46.465,1976.000,Clerx et al. (2022),46,5.445,907.279,4.708,4.749,2021,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_CEN2 (Therm Core),2193,2022-06-17,Greenland,77.182,-61.115,1891.000,GEUS snow and firn data (2023),46,10.235,702.007,2.010,,2022,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_CEN_core,2840,2024-05-15,Greenland,77.182,-61.116,1893.000,GEUS snow and firn data (2023),38,10.325,643.243,9.444,,2024,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_CEN_snowpit,2841,2024-05-15,Greenland,77.182,-61.116,1893.000,GEUS snow and firn data (2023),15,1.450,553.000,1.404,,2024,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_CP1 (Mast Core),2191,2022-06-15,Greenland,69.872,-47.038,1932.000,GEUS snow and firn data (2023),15,2.520,657.869,1.233,,2022,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_CP1 (Therm Core),2785,2022-06-15,Greenland,69.872,-47.038,1932.000,GEUS snow and firn data (2023),38,10.575,904.157,4.391,6.420,2022,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_CP1_2023_core,2214,2023-06-19,Greenland,69.872,-47.038,1932.000,GEUS snow and firn data (2023),46,10.190,629.586,6.326,,2023,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_CP1_core,2835,2024-05-25,Greenland,69.871,-47.043,1948.000,GEUS snow and firn data (2023),29,10.062,611.130,8.271,,2024,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_CP1_snowpit,2836,2024-05-25,Greenland,69.871,-47.043,1948.000,GEUS snow and firn data (2023),14,1.390,700.000,1.300,,2024,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_DY2_2023_core,2211,2023-06-14,Greenland,66.482,-46.291,2165.000,GEUS snow and firn data (2023),68,10.210,836.631,9.125,7.915,2023,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_DY2_S1_core,2829,2024-05-20,Greenland,66.483,-46.294,,GEUS snow and firn data (2023),41,9.905,805.459,6.515,,2024,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_DY2_S2_core,2830,2024-05-27,Greenland,66.483,-46.294,,GEUS snow and firn data (2023),38,10.178,879.170,3.128,8.998,2024,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_DYE-2 (Therm Core),2192,2022-06-15,Greenland,66.482,-46.291,2165.000,GEUS snow and firn data (2023),47,9.473,890.744,4.871,8.540,2022,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_EGP_snowpit_2,2847,2024-06-17,Greenland,75.628,-35.968,2669.000,GEUS snow and firn data (2023),13,1.150,556.000,0.270,,2024,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_HUM_core,2842,2024-05-21,Greenland,78.529,-56.845,1969.000,GEUS snow and firn data (2023),47,10.380,655.055,9.321,,2024,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_KAN_U_2023_core,2206,2023-06-08,Greenland,67.001,-47.034,1838.000,GEUS snow and firn data (2023),49,10.150,1131.521,6.463,5.890,2023,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_KAN_U_snowpit,2839,2024-05-27,Greenland,67.001,-47.035,1840.000,GEUS snow and firn data (2023),12,1.150,571.429,0.674,,2024,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_NAE_2023_core,2216,2023-06-23,Greenland,75.002,-29.980,2628.000,GEUS snow and firn data (2023),37,9.970,592.126,9.053,,2023,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_NASA-E (Therm Core),2777,2022-05-26,Greenland,75.002,-29.980,2629.000,GEUS snow and firn data (2023),34,10.310,560.000,9.279,,2022,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_NAU_2023_core,2218,2023-06-18,Greenland,73.841,-49.534,2339.000,GEUS snow and firn data (2023),29,10.240,551.754,8.350,,2023,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_NEM_core,2844,2024-05-16,Greenland,77.441,-51.084,2454.000,GEUS snow and firn data (2023),40,11.070,625.427,9.499,,2024,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_NSE_2023_core,2207,2023-06-09,Greenland,66.478,-42.493,2389.000,GEUS snow and firn data (2023),30,9.935,624.347,6.872,,2023,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_NSE_S1_core,2827,2024-05-21,Greenland,66.478,-42.493,,GEUS snow and firn data (2023),30,10.482,630.429,7.797,,2024,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_SDL_2023_core,2210,2023-06-15,Greenland,66.000,-44.503,2473.000,GEUS snow and firn data (2023),44,9.880,605.948,7.403,,2023,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_SDL_S1_core,2837,2024-05-24,Greenland,66.000,-44.502,,GEUS snow and firn data (2023),35,12.537,720.684,12.371,,2024,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_SDM_2023_core,2208,2023-06-11,Greenland,63.149,-44.817,2896.000,GEUS snow and firn data (2023),34,9.995,803.496,8.745,,2023,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_SDM_S2_core,2833,2024-05-24,Greenland,63.149,-44.817,2895.000,GEUS snow and firn data (2023),29,10.175,559.667,9.756,,2024,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_Summit,2048,1999-05-12,Greenland,72.580,-38.505,3254.000,GEUS snow and firn data (2023),58,1.750,986.000,1.281,0.491,1999,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_TUN_2023_core,2220,2023-06-20,Greenland,78.019,-33.963,2079.000,GEUS snow and firn data (2023),37,9.395,550.843,9.084,,2023,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_Tunu-N (Therm Core),2780,2022-05-27,Greenland,78.019,-33.963,2079.000,GEUS snow and firn data (2023),33,9.875,723.689,5.419,,2022,SUMUP 2024,doi:10.18739/A2M61BR5M
GITS_core_1_1996,2233,1996-05-10,Greenland,77.143,-61.095,1887.000,Mosley-Thompson et al. (2001),21,21.365,604.939,14.808,,1996,SUMUP 2024,doi:10.18739/A2M61BR5M
GITS_core_2_1996,2234,1996-05-10,Greenland,77.143,-61.095,1887.000,Mosley-Thompson et al. (2001),117,119.045,897.759,14.251,83.311,1996,SUMUP 2024,doi:10.18739/A2M61BR5M
GRIP,2503,1990-01-01,Greenland,72.567,-37.617,3230.000," Johnsen, S. pers. comm. as in Spencer et al. (2001)",74,81.805,838.850,16.435,80.730,1990,SUMUP 2024,doi:10.18739/A2M61BR5M
GlacioBasis_ZAC-L,2113,2014-04-19,Greenland,74.624,-21.374,694.000,GEUS snow and firn data (2023),45,1.990,900.000,1.899,1.972,2014,SUMUP 2024,doi:10.18739/A2M61BR5M
GlacioBasis_ZAC-U,2127,2014-04-21,Greenland,74.643,-21.463,920.000,GEUS snow and firn data (2023),35,1.715,1012.000,1.158,1.496,2014,SUMUP 2024,doi:10.18739/A2M61BR5M
GrIT_20110424,114,2011-04-24,Greenland,76.477,-66.080,,Hawley et al. (2014),14,2.800,574.093,2.136,,2011,SUMUP 2024,doi:10.18739/A2M61BR5M
GrIT_20110424,113,2011-04-24,Greenland,76.443,-67.008,,Hawley et al. (2014),20,3.950,767.880,3.056,,2011,SUMUP 2024,doi:10.18739/A2M61BR5M
GrIT_20110424,109,2011-04-24,Greenland,76.405,-67.306,,Hawley et al. (2014),19,3.700,674.620,3.314,,2011,SUMUP 2024,doi:10.18739/A2M61BR5M
GrIT_20110430,123,2011-04-30,Greenland,77.265,-58.528,,Hawley et al. (2014),35,6.700,554.715,5.340,,2011,SUMUP 2024,doi:10.18739/A2M61BR5M
GrIT_20110508,116,2011-05-08,Greenland,76.500,-43.732,2803.000,Hawley et al. (2014),35,10.075,612.851,8.694,,2011,SUMUP 2024,doi:10.18739/A2M61BR5M
GrIT_20110512,102,2011-05-12,Greenland,74.422,-39.294,,Hawley et al. (2014),40,9.630,551.323,1.899,,2011,SUMUP 2024,doi:10.18739/A2M61BR5M
GrIT_20110528,127,2011-05-28,Greenland,77.371,-55.927,,Hawley et al. (2014),42,10.130,589.112,7.796,,2011,SUMUP 2024,doi:10.18739/A2M61BR5M
